symbol,timeframe,strategy_name,n_total,n_failed,n_overfit,n_robust,mean_is_pf,mean_oos_pf,mean_oos_dd,median_trades
APTUSDT,5m,bollinger_bounce,0,0,0,0,,,,
APTUSDT,5m,price_channel,0,0,0,0,,,,
APTUSDT,5m,atr_breakout,0,0,0,0,,,,
APTUSDT,5m,volume_spike,0,0,0,0,,,,
APTUSDT,5m,golden_cross,0,0,0,0,,,,
APTUSDT,5m,bullish_engulfing,0,0,0,0,,,,
APTUSDT,5m,rsi_divergence,0,0,0,0,,,,
APTUSDT,5m,bearish_engulfing,0,0,0,0,,,,
APTUSDT,15m,ema_crossover,0,0,0,0,,,,
APTUSDT,15m,rsi_ob_os,0,0,0,0,,,,
APTUSDT,15m,macd_crossover,0,0,0,0,,,,
APTUSDT,15m,stochastic,0,0,0,0,,,,
APTUSDT,15m,atr_breakout,0,0,0,0,,,,
APTUSDT,15m,bollinger_bounce,0,0,0,0,,,,
APTUSDT,15m,price_channel,0,0,0,0,,,,
APTUSDT,15m,volume_spike,0,0,0,0,,,,
APTUSDT,15m,golden_cross,0,0,0,0,,,,
APTUSDT,15m,rsi_divergence,0,0,0,0,,,,
APTUSDT,15m,bullish_engulfing,0,0,0,0,,,,
APTUSDT,15m,bearish_engulfing,0,0,0,0,,,,
APTUSDT,30m,ema_crossover,0,0,0,0,,,,
APTUSDT,30m,macd_crossover,0,0,0,0,,,,
APTUSDT,30m,rsi_ob_os,0,0,0,0,,,,
APTUSDT,30m,stochastic,0,0,0,0,,,,
APTUSDT,30m,atr_breakout,0,0,0,0,,,,
APTUSDT,30m,bollinger_bounce,0,0,0,0,,,,
APTUSDT,30m,price_channel,0,0,0,0,,,,
APTUSDT,30m,volume_spike,0,0,0,0,,,,
APTUSDT,30m,golden_cross,0,0,0,0,,,,
APTUSDT,30m,rsi_divergence,0,0,0,0,,,,
APTUSDT,30m,bullish_engulfing,0,0,0,0,,,,
APTUSDT,30m,bearish_engulfing,0,0,0,0,,,,
APTUSDT,1h,ema_crossover,0,0,0,0,,,,
APTUSDT,1h,macd_crossover,0,0,0,0,,,,
APTUSDT,1h,rsi_ob_os,0,0,0,0,,,,
APTUSDT,1h,stochastic,0,0,0,0,,,,
APTUSDT,1h,atr_breakout,0,0,0,0,,,,
APTUSDT,1h,bollinger_bounce,1,1,0,0,1.39,0.51,15.21,14
APTUSDT,1h,price_channel,0,0,0,0,,,,
APTUSDT,1h,volume_spike,0,0,0,0,,,,
APTUSDT,1h,golden_cross,0,0,0,0,,,,
APTUSDT,1h,rsi_divergence,0,0,0,0,,,,
APTUSDT,1h,bullish_engulfing,0,0,0,0,,,,
APTUSDT,1h,bearish_engulfing,0,0,0,0,,,,
APTUSDT,4h,ema_crossover,0,0,0,0,,,,
APTUSDT,4h,stochastic,0,0,0,0,,,,
APTUSDT,4h,macd_crossover,0,0,0,0,,,,
APTUSDT,4h,rsi_ob_os,0,0,0,0,,,,
APTUSDT,4h,atr_breakout,0,0,0,0,,,,
APTUSDT,4h,bollinger_bounce,0,0,0,0,,,,
APTUSDT,4h,price_channel,0,0,0,0,,,,
APTUSDT,4h,volume_spike,0,0,0,0,,,,
APTUSDT,4h,bullish_engulfing,0,0,0,0,,,,
APTUSDT,4h,bearish_engulfing,0,0,0,0,,,,
APTUSDT,4h,golden_cross,0,0,0,0,,,,
